pk,id,link,name,rent,bedrooms,bathrooms,size,description,address,img,features,walk score,transit score,bike score,dogs_allowed,cats_allowed,feature_vector,cluster
1,7vqs62w,https://www.apartments.com/420-west-42nd-street-new-york-ny/7vqs62w/,420 West 42nd Street,"3,395 - $5,900",3-Jan,2-Jan,"684 - 1,500 sq ft","About 420 West 42nd Street Located in the heart of the Theater District, this renovated building is a quiet haven amongst the bustle and excitement of Midtown. This residential building offers unparalleled accessibility to transportation, recreation, dining and entertainment. 420 West 42nd Street showcases spectacular city and river views, floor-to-ceiling windows, stainless steel appliances, concierge service, valet, complimentary fitness center and landscaped outdoor spaces. Amenities Include: Concierge Doorman Laundry Facilities Pet Friendly Bike Room Complimentary Fitness Center Landscaped Private Outdoor Space ATM Valet Services 420 West 42nd Street is an apartment located in Manhattan County, the 10036 ZIP Code, and the Nyc Geog District # 2 - Manhattan attendance zone. Unique Features Pass Thru Kitchen","420 W 42nd St, New York, NY 10036  New York","[""https://images1.apartments.com/i2/wY8waOuHqHAfZhn_feV_a1V2nyFSvrlx1005nfKNzeU/111/420-west-42nd-street-new-york-ny-primary-photo.jpg?p=1"", ""https://images1.apartments.com/m2/ZxgN8IQOmL7wRLdkyR6hf4jFikmcuXbnu9qofIxlKpM/H330W495/420-west-42nd-street-new-york-ny-map-image-of-the-property.jpg?p=1"", ""https://images1.apartments.com/i2/KmhqLdm5VTur8u22YaLba_IiODna2hKhBC8Pv_7_rgM/117/420-west-42nd-street-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/_wLcoblye358_H4vYz5EYTWRBrJ1YrLjNkWl9ww0jRg/117/420-west-42nd-street-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/4_upyEJmRNefOEs5TPNM4qG5V6cYB5GyXd-bTEZOb0o/117/420-west-42nd-street-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/rQll8tc4LFXK_skxlOrMZVrSWXEFTMAJdfeipxn_28s/115/compass-logo.png"", ""https://images1.apartments.com/i2/rQll8tc4LFXK_skxlOrMZVrSWXEFTMAJdfeipxn_28s/115/compass-logo.png"", ""https://images1.apartments.com/i2/rQll8tc4LFXK_skxlOrMZVrSWXEFTMAJdfeipxn_28s/115/compass-logo.png"", ""https://images1.apartments.com/i2/rQll8tc4LFXK_skxlOrMZVrSWXEFTMAJdfeipxn_28s/110/compass-logo.png""]","['Pass Thru Kitchen', 'Package Service', 'Community-Wide WiFi', 'Laundry Facilities', 'Doorman', 'Concierge', 'On-Site ATM', 'Elevator', 'Fitness Center', 'Bike Storage', 'Sundeck', 'High Speed Internet Access', 'Wi-Fi', 'Air Conditioning', 'Heating', 'Smoke Free', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Hardwood Floors', 'Views', 'Walk-In Closets', 'Linen Closet', 'Double Pane Windows', 'Large Bedrooms']",99,100,94,yes,yes,"[0.0, 0.0, 0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8
2,8wyby41,https://www.apartments.com/symphony-house-new-york-ny/8wyby41/,Symphony House,"2,500 - $7,300",Studio - 2,2-Jan,"450 - 1,200 sq ft","About Symphony House The buildingâs 24-hour attended lobby, private rooftop Starlight Club*, indoor atrium swimming pool, with fitness center, jacuzzi and private âgreenâ roof deck, offer the ultimate in luxury amenities. A brand new childrenâs playroom offers a fun and safe place for children to exercise their bodies and minds. Views of Central Park from the 43rd floor roof deck are spectacular. The buildingâs Midtown West location is one of the most desirable in Manhattan situated steps from many of the worldâs leading cultural venues including Lincoln Center, Carnegie Hall, Columbus Circle and Broadway Theaters. The best of New York Cityâs restaurants and shopping are at your door. Come visit us today at our on-site Leasing Office for an appointment to view your next home. Features: Magnificent Attended Lobby w/24hr Doorman & Concierge Rooftop Fitness Facility with Atrium Pool* 9th Floor Landscaped Green Roof 43rd Floor Furnished Roof Deck Children's Playroom Laundry Room on Every Floor On Site Management Office On Site Leasing Office Pet policy - call for details *Available for additional fee Symphony House is an apartment located in Manhattan County, the 10019 ZIP Code, and the Nyc Geog District # 2 - Manhattan attendance zone. Unique Features Best Location w/Condominium Finishes Children's Play Room Laundry Room on Every Floors","235 W 56th St, New York, NY 10019  Central Park South","[""https://images1.apartments.com/i2/bceMAjENPMmgZRoUg7E9BmKBuca997jDRYKYyyIIDuE/111/symphony-house-new-york-ny-primary-photo.jpg?p=1"", ""https://images1.apartments.com/m2/o2fwBfQOx3U0lbd_lrzJyrU-9R-rrGmv6IhUyVVIU-I/H330W495/symphony-house-new-york-ny-map-image-of-the-property.jpg?p=1"", ""https://images1.apartments.com/i2/lzeyCHNG4wPdz8wAfXi39LLeNS5RV44rGiTY8jKNQHM/117/symphony-house-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/UCcg-3NbdLl3sZnLibmZotx-dDtpx7iyxUN85zcyC9Y/117/symphony-house-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/4JtKEhooA0dkBXeGfk8d4y2s-7IgGFVlRuG3PImvz1w/117/symphony-house-new-york-ny-entrance.jpg?p=1"", ""https://images1.apartments.com/i2/5VPgktB77ZF-j071rX2JEaVPic-uaPa_1e7hLKELL8E/115/jack-resnick-sons-inc-logo.jpg"", ""https://images1.apartments.com/i2/5VPgktB77ZF-j071rX2JEaVPic-uaPa_1e7hLKELL8E/115/jack-resnick-sons-inc-logo.jpg"", ""https://images1.apartments.com/i2/5VPgktB77ZF-j071rX2JEaVPic-uaPa_1e7hLKELL8E/115/jack-resnick-sons-inc-logo.jpg"", ""https://images1.apartments.com/i2/5VPgktB77ZF-j071rX2JEaVPic-uaPa_1e7hLKELL8E/110/jack-resnick-sons-inc-logo.jpg""]","['Best Location w/Condominium Finishes', ""Children's Play Room"", 'Laundry Room on Every Floors', 'Laundry Facilities', 'Maintenance on site', 'Property Manager on Site', 'Doorman', 'Concierge', '24 Hour Availability', 'Furnished Units Available', 'Elevator', 'Lounge', 'Multi Use Room', 'Fitness Center', 'Spa', 'Pool', 'Roof Terrace', 'High Speed Internet Access', 'Wi-Fi', 'Air Conditioning', 'Heating', 'Cable Ready', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Office', 'Views', 'Walk-In Closets', 'Linen Closet', 'Double Pane Windows', 'Balcony', 'Deck']",99,100,86,yes,yes,"[0.0, 0.0, 0.0, 0.0, 0.34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0]",8
3,sd96l86,https://www.apartments.com/535-w-49th-st-new-york-ny/sd96l86/,535 W 49th St,"1,800",1,1,400 sq ft,"About 535 W 49th St Well kept 5 Story building in the Heart of Hells Kitchen 535 W 49th St is an apartment located in Manhattan County, the 10019 ZIP Code, and the Nyc Geog District # 2 - Manhattan attendance zone.","535 W 49th St, New York, NY 10019  Manhattan","[""https://images1.apartments.com/i2/NP0Nf5s056yr9-3icp6dkcfRBgxcVRZezWlO9_-DZd0/111/535-w-49th-st-new-york-ny-primary-photo.jpg?p=1"", ""https://images1.apartments.com/m2/f7uIfERmmozkJZxXy64ruVMPB-YjoA0vWK2U96HRHUI/H330W495/535-w-49th-st-new-york-ny-map-image-of-the-property.jpg?p=1"", ""https://images1.apartments.com/i2/1fbGEszjflVrtvXO-5jTJnMqjudQcFbyir5qJOgjKYw/117/535-w-49th-st-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/xxPTun56Fy4a0CwKm7RzhUHyuWxMmH-ZMwdaDD8Ftxg/117/535-w-49th-st-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/8bm1A1PL1KtZnRMfy6IMIz7_ce53cTXwWCjx89Pitrw/117/535-w-49th-st-new-york-ny-building-photo.jpg?p=1""]","['Washer/Dryer Hookup', 'Heating', 'Smoke Free', 'Tub/Shower', 'Eat-in Kitchen', 'Kitchen', 'Oven', 'Range', 'Refrigerator', 'Hardwood Floors']",98,100,92,yes,yes,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0]",6
4,fre5w3t,https://www.apartments.com/500-w-56th-st-new-york-ny/fre5w3t/,500 W 56th St Unit APT 1415,"4,200",1,1,,"About 500 W 56th St New York, NY 10019 Amazing Corner 1 Bedroom, 1 Bath, with northern & western exposures, open kitchen, and tons of closet space. Remarkable luxury and style can be yours when you live in one of The Westport's fabulous Midtown apartments. Located just steps from Central Park, Columbus Circle and the theater district, The Westport offers premium services comparable to those found only in the finest Manhattan apartments. Move-in coordination, 24-hour attended lobby, a personal assistant, and in-home package delivery are just a few of the services available to residents. The Westport's pet-friendly luxury rentals are sought after for the convenience of their Midtown Manhattan location, the attention of the staff to delivering impeccable service, and the incomparable building amenities. A lushly landscaped rooftop terrace offering breathtaking river and city views, adjoining party room, and a state-of-the-art fitness club complete with half-court basketball are just a few of the amenities enjoyed by residents of these Midtown apartments. 500 W 56th St is an apartment located in Manhattan County, the 10019 ZIP Code, and the attendance zone.","500 W 56th St, New York, NY 10019  Hell's Kitchen","[""https://images1.apartments.com/i2/OjzqWOHKwIb_uTEz0Ui5l0RBwkeBc3yHtDqV46ioKD8/111/500-w-56th-st-unit-apt-1415-new-york-ny-primary-photo.jpg?p=1"", ""https://images1.apartments.com/i2/jQhwfGfBpEnrFxDGcruOg-SJstnM5hVIYzE6N-GsgbM/117/500-w-56th-st-unit-apt-1415-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/8ryeCsV_zBI1OM9rDxNH3mWLBjo1OwDmUwYBXQUhpbQ/117/500-w-56th-st-unit-apt-1415-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/-R9uya9AzFzqUghclcYLCuAhGTFFzA4wTOhcxPVUZXM/117/500-w-56th-st-unit-apt-1415-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/BVCvhuU4hNZ_gn4EFJPGNmxcGcDq2ZGwu79rYwElU5g/117/500-w-56th-st-unit-apt-1415-new-york-ny-building-photo.jpg?p=1""]","['Washer/Dryer Hookup', 'Air Conditioning', 'Heating', 'Smoke Free', 'Cable Ready', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Hardwood Floors', 'Tile Floors', 'Views', 'Package Service', 'Laundry Facilities', 'Controlled Access', 'Doorman', 'Elevator', 'Fitness Center']",99,100,84,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.68, 0.0, 0.0, 0.0]",8
5,5rgm42m,https://www.apartments.com/500-w-56th-st-new-york-ny/5rgm42m/,500 W 56th St Unit APT 1119,"4,605",1,1,,"About 500 W 56th St New York, NY 10019 Amazing Corner 1 Bedroom, 1 Bath featuring bright southern & western exposures, stunning city views, open kitchen, and tons of closet space. Remarkable luxury and style can be yours when you live in one of The Westport's fabulous Midtown apartments. Located just steps from Central Park, Columbus Circle and the theater district, The Westport offers premium services comparable to those found only in the finest Manhattan apartments. Move-in coordination, 24-hour attended lobby, a personal assistant, and in-home package delivery are just a few of the services available to residents. The Westport's pet-friendly luxury rentals are sought after for the convenience of their Midtown Manhattan location, the attention of the staff to delivering impeccable service, and the incomparable building amenities. A lushly landscaped rooftop terrace offering breathtaking river and city views, adjoining party room, and a state-of-the-art fitness club complete with half-court basketball are just a few of the amenities enjoyed by residents of these Midtown apartments. 500 W 56th St is an apartment located in Manhattan County, the 10019 ZIP Code, and the attendance zone.","500 W 56th St, New York, NY 10019  Hell's Kitchen","[""https://images1.apartments.com/i2/aLQUBq9Jtns65-pBCqB4Rr3Ik5DdFWZcx5XnrGhIjag/111/500-w-56th-st-unit-apt-1119-new-york-ny-primary-photo.jpg?p=1"", ""https://images1.apartments.com/i2/4PigHggt1rSSSH1Pq7JfsUrNxnZGEAF8nwcnq75q6Zg/117/500-w-56th-st-unit-apt-1119-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/c02dIZF86lTDpTHF0pus32yDJNraIyN4JOU8n9QEtWE/117/500-w-56th-st-unit-apt-1119-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/OjzqWOHKwIb_uTEz0Ui5l0RBwkeBc3yHtDqV46ioKD8/117/500-w-56th-st-unit-apt-1119-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/o_mOlqURq98MK9YTNdTf4vc4HTcrBqzGTVGTLMvoBhQ/117/500-w-56th-st-unit-apt-1119-new-york-ny-building-photo.jpg?p=1""]","['Washer/Dryer Hookup', 'Air Conditioning', 'Heating', 'Smoke Free', 'Cable Ready', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Hardwood Floors', 'Tile Floors', 'Views', 'Package Service', 'Laundry Facilities', 'Controlled Access', 'Doorman', 'Elevator', 'Fitness Center']",99,100,84,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.63, 0.0, 0.0, 0.0]",8
6,tem2gfb,https://www.apartments.com/450-w-42nd-st-new-york-ny/tem2gfb/,450 W 42nd St Unit APT 46P,"4,825",1,1,,"About 450 W 42nd St New York, NY 10036 Beautiful 1 Bedroom, 1 Bath with floor-to-ceiling windows, northern exposure, expansive city views, spacious closets, gourmet open kitchen, and an in-home washer/dryer. New York's most exciting new rental lifestyle, MiMA is more than Related's newest luxury rental. Featuring M Club, a 44,000 square foot amenity space, MiMA is apartment living like never before - with luxuries like your own private fitness club by Equinox. A heated indoor lap pool. A full-size indoor basketball and volleyball court. Dog City pet spa. Spectacular terraces for residents and their guests. Outdoor and indoor screening rooms. An Internet cafe. LEED Gold certification. All this before you even step outside - into the hippest, hottest, most happening neighborhood in Manhattan! 450 W 42nd St is an apartment located in Manhattan County, the 10036 ZIP Code, and the attendance zone.","450 W 42nd St, New York, NY 10036  Midtown West","[""https://images1.apartments.com/i2/9yBv0e0hcWcaHLMFZf4Xx3G577uFi-jrbtoL8g7BVJQ/111/450-w-42nd-st-unit-apt-46p-new-york-ny-primary-photo.jpg?p=1"", ""https://images1.apartments.com/i2/tHdhyaFM9jaNfNufnUyRwrTfJ94usr0wzzygtafqepE/117/450-w-42nd-st-unit-apt-46p-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/G18X0fEGBEe3vs4dB1o9-KfBB6NJws225jvCyYhBK_w/117/450-w-42nd-st-unit-apt-46p-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/GByVnZPlm2vDG6OzhEZCZfuVRacM8tn7tM81gR5Dmm8/117/450-w-42nd-st-unit-apt-46p-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/NRz975YOVTTcOfZkbm8x4GosD1dmJ2vOIKHXXXgPK2Y/117/450-w-42nd-st-unit-apt-46p-new-york-ny-building-photo.jpg?p=1""]","['Washer/Dryer Hookup', 'Air Conditioning', 'Heating', 'Smoke Free', 'Cable Ready', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Hardwood Floors', 'Tile Floors', 'Views', 'Package Service', 'Laundry Facilities', 'Controlled Access', 'Doorman', 'Elevator', 'Fitness Center']",99,100,90,,,"[0.0, 0.0, 0.0, 0.98, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9
7,v4vtz5e,https://www.apartments.com/334-46th-w-st-new-york-ny/v4vtz5e/,334 46th W St,"3,025",1,1,370 sq ft,"About 334 46th W St New York, NY 10036 1 bedroom apartment in Hell's Kitchen. Flexible 1-18 month lease, no broker or extra fees. This property can come furnished or unfurnished. 3D tours available right now here: https://junehomes.com/residences/new-york-city-ny/hells-kitchen/332-midtown-west/tour About This Home Thoughtful decor and stylish furnishings. This is true NYC living. Stay in, head out, catch a film; home in the heart of it all. A space to call your very own in the heart of one of the most iconic pockets of New York City. Clean minimal textures and metallic accents meet iconic loft features for an elevated type of cozy you may never want to leave. Available as a long-term or short-term rental, furnished or unfurnished. After youâve sufficiently nested, discover a portrait of eclectic NYC culture at your doorstep. An abundance of local and international museums, galleries and theatres will keep your itinerary busy, when you want them to. About June Homes: - June Homes mission is to make renting apartments as easy and stress-free as possible. - Your membership ($200/month) includes: Wi-Fi, a fully equipped kitchen, fresh linens and our dedicated member support team available via June Homes app. - You can expect fast online applications, easy contactless move-ins, and no hidden fees or broker fees. * All our homes are priced dynamically -- the exact rate is dependent on when you might want to move in and move out. Visit our website for a quote on your specific dates. Visit our website for more specific dates, and quotes. #332: Hell's Kitchen 1 Bedroom (Full) 334 46th W St is an apartment located in Manhattan County, the 10036 ZIP Code, and the attendance zone.","334 46th W St, New York, NY 10036  Times Square","[""https://images1.apartments.com/i2/-uVdWM61fiilZrUeTTchCebrksu12JG4iC7jWirGMWQ/111/334-46th-w-st-new-york-ny-primary-photo.jpg?p=1"", ""https://images1.apartments.com/i2/2tguW0_PQmEAoT8kFGxOSxXFjFOs1RvPCX7MfocuL94/117/334-46th-w-st-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/CpixyTzocB6AtlqVwFdtkhOrgfxjXh-d58gxRcwWfLg/117/334-46th-w-st-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/dZ57TbZWgHrbDg1ALG0GYh6KZwZ0QgzBiiBgT5FGrDw/117/334-46th-w-st-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/fUMST4GOkmHR9nb34JTpcpgV0AX0oYbyLRv6msdH6z0/117/334-46th-w-st-new-york-ny-building-photo.jpg?p=1""]","['High Speed Internet Access', 'Wi-Fi', 'Air Conditioning', 'Heating', 'Smoke Free', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Furnished', 'Furnished Units Available']",98,100,94,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.54, 0.0, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07, 0.0]",5
8,6ynxjer,https://www.apartments.com/305-w-52nd-st-new-york-ny-unit-1k/6ynxjer/,305 W 52nd St Unit 1K,"3,795",3,1,825 sq ft,"About 305 W 52nd St New York, NY 10019 More to come.... perfect for students.. one room has piano available too! photos coming.... quiet and soundproofed.... full kitchen and a dining area as well.. contact me for more info and internet/utilities included as well! why travel by public transportation to get to manhattan.. you can save over $300 a year to be in the best city in the world... happy to negotiate as well.. Stay safe and look forward to meeting you! 305 W 52nd St is a condo located in Manhattan County, the 10019 ZIP Code, and the attendance zone.","305 W 52nd St, New York, NY 10019  Hell's Kitchen","[""https://images1.apartments.com/i2/Y51SVTkXj9brQ5ueI2Vvv4v-gDRwmdfjGnKreTuQwJk/111/305-w-52nd-st-unit-1k-new-york-ny-primary-photo.jpg?p=1"", ""https://images1.apartments.com/i2/dHct8CQuc_ZbCea0TYgD2s-S-sjbrnx5wIQtfr-1kDo/117/305-w-52nd-st-unit-1k-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/fnQqYS0Lk4Ez_rGlk81DOvoP5d1k7KLcN4wxyNVBF_E/117/305-w-52nd-st-unit-1k-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/Ua6029kcPFgh_PiVMkvPvIEq5PrG0YWn6ZtfMh2v2pI/117/305-w-52nd-st-unit-1k-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/lfiuvz8POTYLie3ZJRYw1QkO66WHEDNttqYb_CqbUXA/117/305-w-52nd-st-unit-1k-new-york-ny-building-photo.jpg?p=1""]","['High Speed Internet Access', 'Wi-Fi', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Intercom', 'Dishwasher', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Range', 'Refrigerator', 'Freezer', 'Coffee System', 'Dining Room', 'Walk-In Closets', 'Furnished', 'Large Bedrooms']",99,100,91,yes,yes,"[0.0, 0.0, 0.13, 0.0, 0.36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34, 0.0]",5
9,tk67swb,https://www.apartments.com/336-w-47th-st-new-york-ny/tk67swb/,336 W 47th St,"3,050",1,1,449 sq ft,"About 336 W 47th St New York, NY 10036 Flexible 1-18 month lease, no broker or extra fees. This property can come furnished or unfurnished. About June Homes: - June Homes mission is to make renting apartments as easy and stress-free as possible. - Your membership ($200/month) includes: Wi-Fi, a fully equipped kitchen, fresh linens and our dedicated member support team available via June Homes app. - You can expect fast online applications, easy contactless move-ins, and no hidden fees or broker fees. * All our homes are priced dynamically -- the exact rate is dependent on when you might want to move in and move out. Visit our website for a quote on your specific dates. Visit our website for more specific dates, and quotes. 336 W 47th St is an apartment located in Manhattan County, the 10036 ZIP Code, and the attendance zone.","336 W 47th St, New York, NY 10036  Times Square","[""https://images1.apartments.com/i2/00h3KA9GyTVdZhYwdUm7YChLhchctDPACWTqwinvOi8/111/336-w-47th-st-new-york-ny-primary-photo.jpg?p=1"", ""https://images1.apartments.com/i2/jWoJ3GZQksMkOvrMudUyIjc_GLe4GLGDWFbRQPwx3_0/117/336-w-47th-st-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/hcfbCifL9uki46GBIj5CISO-wouE_pzSUoKH73oeNXs/117/336-w-47th-st-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/7-xGHzLEcngo0JktCeERb2LuJxo_M6Eyrhowr7YJhzs/117/336-w-47th-st-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/d4ArnhDnBn8wC9BwM6vOcZvg5nWEauxTIUXbsAsrszM/117/336-w-47th-st-new-york-ny-building-photo.jpg?p=1""]","['Wi-Fi', 'Air Conditioning', 'Smoke Free', 'Kitchen', 'Furnished', 'Furnished Units Available']",99,100,94,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47, 0.0, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09, 0.0]",5
10,k8kdwv8,https://www.apartments.com/885-9th-ave-new-york-ny/k8kdwv8/,885 9th Ave,"2,775",1,1,304 sq ft,"About 885 9th Ave New York, NY 10019 Flexible 1-18 month lease, no broker or extra fees. Custom furnishings can only be installed for stays of 3 months or longer. About June Homes: - June Homes mission is to make renting apartments as easy and stress-free as possible. - Your membership ($200/month) includes: Wi-Fi, a fully equipped kitchen and our dedicated member support team available via June Homes app. - You can expect fast online applications, easy contactless move-ins, and no hidden fees or broker fees. * All our homes are priced dynamically -- the exact rate is dependent on when you might want to move in and move out. Visit our website for a quote on your specific dates. Visit our website for more specific dates, and quotes. 885 9th Ave is an apartment located in Manhattan County, the 10019 ZIP Code, and the attendance zone.","885 9th Ave, New York, NY 10019  Lincoln Square","[""https://images1.apartments.com/i2/met_1q4BRDXdUiF39972KW1l7y-YUoobn7RQlfoQdsw/111/885-9th-ave-new-york-ny-primary-photo.jpg?p=1"", ""https://images1.apartments.com/i2/XQwIDNqWIJhXoaPOR-iRqDMP0THalqITOYpO5WCzzE0/117/885-9th-ave-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/RhlpoPHlFbHx71tkE4xKVzo1W3agNyqLck4j8RsgfWg/117/885-9th-ave-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/MP7Ad7WanEz3Qfy3F9prxJg5-Wd4mkRfe-ogrAjh6aM/117/885-9th-ave-new-york-ny-building-photo.jpg?p=1"", ""https://images1.apartments.com/i2/jhw-ucULFXy9bBiMElqrDLJmeQ-bYLNniOos2OXdx9A/117/885-9th-ave-new-york-ny-building-photo.jpg?p=1""]","['High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer - In Unit', 'Air Conditioning', 'Heating', 'Smoke Free', 'Satellite TV', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Walk-In Closets', 'Furnished']",100,100,88,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.0, 0.0, 0.46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09, 0.0]",5
